nama_kue,deskripsi,sejarah_kue,cara_pembuatan,daerah_kue,gambar,link_sumber
Doko-doko,"Doko-doko (dari bahasa Bugis/Muna/Gorontalo ????, doko-doko, artinya bungkusan) atau juga kerap dikenali dengan eksonimnya sebagai kue Bugis adalah salah satu jenis kue tradisional khas Sulawesi yang berasal dari tradisi kuliner etnis Bugis, Makassar, Mandar, Muna, maupun Gorontalo. Kue ini dibuat dari beras giling (ataupin tepung beras instan), diisi dengan pisang (variasi asli di Sulawesi) ataupun parutan kelapa dan gula jawa (varian di Jawa), dibungkus daun pisang, dan umumnya dibentuk menyerupai piramida. Kue ini termasuk dalam golongan kue basah dan biasa ditemukan dalam berbagai acara adat, perayaan, maupun sebagai kudapan sehari-hari dalam masyarakat Sulawesi. Walaupun berasal dari Sulawesi, Doko-doko juga cukup populer di berbagai daerah lain di Indonesia (maupun luar negeri) yang memiliki populasi diaspora Sulawesi signifikan, terutama di Jawa, Kepulauan Kangean, Kepulauan Nusa Tenggara, Kepulauan Seribu dan juga Sumatra, dengan beberapa variasi bentuk dan penyajian.","Doko-doko adalah kue tradisional Bugis yang banyak ditemukan di Makassar dan Parepare. Kue ini biasa dihidangkan pada acara adat dan perayaan keagamaan. Dalam budaya Bugis, kue ini melambangkan keikhlasan dan kebersamaan.","Tepung beras dicampur dengan santan dan garam, kemudian diberi pewarna alami daun suji. Adonan dituangkan ke daun pisang berbentuk kerucut dan dikukus hingga matang. Kue ini lembut dengan rasa gurih ringan.",Sulawesi yang berasal dari tradisi kuliner etnis Bugis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Lapek_Bugih_1.jpg/500px-Lapek_Bugih_1.jpg,https://id.wikipedia.org/wiki/Doko-doko
Dumbeg,"Dumbeg adalah jajanan tradisional khas Rembang, Jawa Tengah yang unik karena berbentuk seperti terompet dan dibungkus daun lontar. Dumbeg memiliki rasa manis gurih dengan tekstur lembut kenyal, mirip dengan jenang namun dengan pembungkus daun lontar. Sering disajikan dalam acara adat seperti sedekah bumi dan sebagai camilan favorit zaman Walisongo. Dumbeg terbuat dari campuran tepung beras, tepung ketan, gula merah, dan santan. Dibuat menyerupai terompet dan dibungkus dengan daun lontar yang dibentuk spiral. Dumbeg memiliki rasa manis gurih dengan aroma daun lontar yang unik. Teksturnya lembut dan kenyal. Selain Rembang, jajanan ini juga dikenal di Pati, Lasem, Blora, dan beberapa daerah lainnya. Dumbeg juga dikenal dengan nama clorot.",Dumbeg adalah kue tradisional khas pesisir utara Jawa yang unik karena dibungkus menggunakan daun lontar berbentuk corong. Kue ini dipercaya sudah ada sejak abad ke-17 dan sering disajikan pada upacara sedekah laut.,"Adonan dibuat dari tepung beras, santan, dan gula merah. Adonan dituangkan ke dalam daun lontar, lalu dikukus hingga matang. Teksturnya lembut dan aromanya harum dari daun pembungkusnya.",Rembang,https://drive.google.com/uc?export=view&id=112ZTB6Km1K5rU9M1UtzwbQUYKBewnb0Z,https://id.wikipedia.org/wiki/Dumbeg
Engkak ketan,"Engkak ketan atau kue engkak adalah kue tradisional yang populer di daerah Palembang, Sumatera Selatan serta Lampung. Kue Engkak merupakan kue ketan lapis seperti Kue Lapis Legit tetapi lebih lembut dan tahan lama. Kue Engkak ini berbahan dasar mentega dan telur, dan proses memasaknya cukup lama karena dengan cara memanggang dengan menggunakan loyang secara berlapis-lapis, oleh sebab itu Kue Engkak sangat lembut dan tahan lama. Berbeda dengan kue lapis legit yang umumnya terbuat dari bahan dasar tepung terigu, kue ini menggunakan ketan sebagai bahan utamanya. Ketan memberikan tekstur yang kenyal namun lembut, dan dipadukan dengan rasa manis yang pas. Kue engkak ketan sering disajikan dalam acara-acara penting, seperti perayaan hari raya, pernikahan, dan upacara adat. Kehadirannya melambangkan ungkapan rasa syukur dan kebahagiaan. Proses pembuatannya yang memakan waktu dan teknik pemanggangan berlapis mencerminkan kesabaran dan ketelitian, nilai-nilai yang dijunjung tinggi dalam budaya setempat. 1 Warna kue ini cukup menarik, dengan lapisan cokelat yang berkontras dengan lapisan kuningnya. Meskipun menggunakan ketan, kue ini tidak lengket saat dimakan karena santan juga digunakan dalam pembuatannya. Santan memberikan kelembutan pada tekstur kue dan menghindarkan rasa lengket yang tidak diinginkan. Engkak Ketan sering disajikan dalam acara-acara besar, seperti perayaan hari raya atau perhelatan tradisional. Namun, kini kue ini juga bisa dinikmati kapan pun tanpa harus menunggu acara khusus. Kesederhanaan bahan-bahannya membuat kue ini cukup populer di kalangan penggemar kue tradisional.","Sebagai salah satu kue tradisional tertua di Palembang, engkak ketan memiliki nilai budaya yang tinggi. Kehadirannya dalam berbagai perayaan mencerminkan pentingnya kue ini dalam tradisi kuliner Palembang. Proses pembuatannya yang memerlukan kesabaran dan ketelitian mencerminkan nilai-nilai budaya setempat.3","Bahan untuk membuat Kue Engkak adalah 1/2 kg tepung ketan putih 1/2 kg gula pasir 10 butir telur ayam 3 gelas santan kelapa 1 kaleng susu 4 sdm mentegaUntuk membuat engkak berikut cara membuatnya:2 Rebus santan bersama daun pandan, daun jeruk, dan garam hingga mendidih dan berminyak. Angkat dan biarkan hingga dingin. Kocok telur dan gula pasir hingga mengembang. Tambahkan susu kental manis dan aduk hingga tercampur rata. Masukkan tepung ketan sedikit demi sedikit ke dalam adonan telur sambil terus diaduk hingga rata. Tuangkan santan yang telah didinginkan, aduk hingga rata, lalu tambahkan mentega leleh dan aduk kembali hingga semua bahan tercampur sempurna. Olesi loyang ukuran 22x22x7 cm dengan mentega dan alasi dengan kertas roti. Tuang sekitar 100 ml adonan ke dalam loyang, panggang dalam oven dengan suhu 200C selama 10 menit atau hingga kecokelatan. Keluarkan loyang, tuang kembali 100 ml adonan, lalu panggang. Ulangi proses ini hingga adonan habis. Setelah semua lapisan matang, biarkan kue dingin sebelum dikeluarkan dari loyang dan dipotong sesuai selera.","Palembang, Sumatera Selatan serta Lampung",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Engkak_lampung.jpg/500px-Engkak_lampung.jpg,https://id.wikipedia.org/wiki/Engkak_ketan
Engkak Medok,"Engkak Medok adalah salah satu jenis kue tradisional khas Palembang yang memiliki tekstur lembut, berlapis-lapis, dan cita rasa manis dengan aroma khas rempah-rempah seperti kayu manis dan kapulaga. Kue ini mirip dengan lapis legit tetapi lebih padat dan kaya rasa karena penggunaan santan serta kuning telur dalam jumlah banyak. Kue Engkak Medok biasanya disajikan dalam acara adat, perayaan keluarga, atau hari besar seperti Idul Fitri. Proses pembuatannya membutuhkan kesabaran karena adonan harus dipanggang secara bertahap lapis demi lapis untuk mendapatkan tekstur yang khas.","Engkak Medok sudah lama menjadi bagian dari kuliner khas masyarakat Palembang dan sering kali disajikan dalam berbagai acara adat, perayaan keluarga, serta momen-momen istimewa seperti Idul Fitri dan pernikahan. Kehadiran kue ini dalam suatu acara menandakan kemewahan dan kehangatan dalam menjamu tamu, karena proses pembuatannya yang membutuhkan kesabaran serta bahan-bahan berkualitas. Dalam tradisi Palembang, hidangan manis seperti Engkak Medok melambangkan doa dan harapan agar kehidupan yang dijalani penuh keberkahan serta kebahagiaan. Oleh karena itu, tidak heran jika kue ini sering dihidangkan dalam perayaan penting sebagai simbol kemakmuran dan kebersamaan.","Pembuatan Engkak Medok cukup unik dan memerlukan keterampilan khusus, terutama dalam proses memanggangnya yang dilakukan secara bertahap. Adonan dibuat dari campuran bahan utama seperti telur, gula, santan, tepung ketan, dan mentega. Campuran ini kemudian dituangkan sedikit demi sedikit ke dalam loyang dan dipanggang secara berlapis. Setiap lapisan harus benar-benar matang sebelum lapisan berikutnya ditambahkan, sehingga menciptakan tekstur berlapis yang lembut dan padat. Karena teknik pembuatannya yang memerlukan waktu cukup lama, kue ini sering kali dianggap sebagai sajian istimewa yang tidak dibuat secara sembarangan. Bagi sebagian orang, proses pembuatan Engkak Medok juga memiliki nilai filosofis, yakni mengajarkan kesabaran dan ketelitian dalam menghasilkan sesuatu yang berkualitas.",Palembang,https://drive.google.com/uc?export=view&id=1TV1lt1mTWVdu_3ZElSJ7tFvtNDR7yu8d,https://id.wikipedia.org/wiki/Engkak_Medok
Gagampam,Gagampam adalah salah satu kue tradisional di Kalimantan Selatan yang terbuat dari gumbili atau singkong. Kue ini berwarna coklat dan bercita rasa manis dikarenakan menggunakan gula merah sebagai bahan tambahan. Kue Gagampam biasanya dibuat sebagai makanan rumah atau di warung-warung kue sebagai teman minum teh dan kopi.,"Gagampam merupakan kue tradisional masyarakat Banjar yang sudah dikenal sejak masa lalu, terutama di wilayah Hulu Sungai Selatan. Kue ini sering disajikan pada acara adat, syukuran, dan pernikahan. Nama gagampam diyakini berasal dari istilah Banjar yang berarti padat atau kenyal, menggambarkan tekstur khas kue ini. Gagampam mencerminkan gaya kuliner Banjar yang kaya akan penggunaan kelapa dan gula merah sebagai bahan utama, dua komoditas penting di Kalimantan Selatan.","Bahan yang digunakan dalam pembuatan kue Gagampam adalah singkong parut, gula merah, kelapa parut. Ketiga bahan tersebut dicampur menjadi satu dan tambahkan sedikit garam. Adonan kemudian dimasukkan ke dalam loyang dan dikukus hingga matang.",Kalimantan Selatan,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Gagampam.jpg/500px-Gagampam.jpg,https://id.wikipedia.org/wiki/Gagampam
Gandasturi,Gandasturi adalah jenis kue yang terbuat dari rebusan kacang hijau. Bahan pembuatannya dibedakan menjadi bahan utama dan bahan pelapis.,"Gandasturi merupakan kue legendaris yang dibuat dari bahan sederhana seperti kacang hijau dan tepung. Kue ini telah dikenal sejak masa kerajaan Mataram dan biasa dijajakan di pasar-pasar tradisional. Nama gandasturi berasal dari bahasa Jawa kuno yang berarti wangi harum, merujuk pada aromanya saat digoreng. Dalam budaya Jawa, gandasturi sering diartikan sebagai simbol ketulusan dan kerja keras karena pembuatannya membutuhkan waktu dan kesabaran.",Pembuatan gandasturi terbagi menjadi bahan utama dan bahan pelapis. Bahan utama gandasturi terbuat dari kacang hijau. Bagian kacang hijau yang diambil untuk dibuat sebagai bahan utama adalah bijinya. Biji ini terlebih dahulu direbus hingga matang lalu digerus.,Jawa Tengah dan Jawa Timur,https://drive.google.com/uc?export=view&id=1FThhkQZCBs4V31wj2rAEfjrm7e4bIOYa,https://id.wikipedia.org/wiki/Gandasturi
Gandus,"Gandus adalah sejenis kue basah yang berasal dari daerah Sumatra, khususnya Bangka dan Palembang. Kue Gandus merupakan salah satu jenis kue basah berukuran kecil yang disajikan tanpa pembungkus. Bahan yang diperlukan untuk membuat kue ini di antaranya adalah sagu, kelapa dan tepung beras, serta dilengkapi dengan garam, abon, dan bawang merah. Proses pembuatan dan penyajiannya memiliki makna simbolis yang erat kaitannya dengan nilai-nilai keagamaan serta kemurnian hati. Warna putih pada kue ini melambangkan kesucian, sedangkan kombinasi rasa gurih dan manis mencerminkan warisan sejarah serta kebijaksanaan lokal dalam kuliner tradisional. Kue ini juga dilengkapi dengan berbagai topping, seperti ebi, abon, bawang goreng, seledri, dan cabai merah, yang memberikan aroma khas dan cita rasa yang lezat. Berkat keistimewaan serta maknanya, Kue Gandus sering menjadi hidangan dalam acara keagamaan maupun adat.",Kue Gandus berasal dari Palembang dan merupakan salah satu peninggalan kuliner Melayu klasik yang masih lestari hingga kini. Kue ini dulunya sering disajikan dalam acara keluarga bangsawan dan kini menjadi hidangan wajib di acara adat dan hari besar Islam. Namanya gandus konon diambil dari bahasa lokal yang berarti lembut.,"Adonan dibuat dari tepung beras, santan, dan garam yang dikukus hingga setengah matang, lalu diberi topping ebi, bawang goreng, dan seledri. Teksturnya lembut dan gurih, mirip bubur padat, dengan cita rasa asin yang khas.","Sumatra, khususnya Bangka dan Palembang",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Gandus.jpg/500px-Gandus.jpg,https://id.wikipedia.org/wiki/Gandus
Kue gapit,"Kue gapit adalah sebuah kue kering (makanan ringan kering) Indonesia yang berasal dari Cirebon, Jawa Barat. Umumnya dibuat dari tepung tapioka, namanya berasal dari proses pembuatannya. Makanan ringan tersebut memiliki berbagai bentuk dan rasa. Meskipun makanan tersebut merupakan oleh-oleh terkenal bagi para pengunjung di Cirebon, para penduduk di wilayah tersebut jarang memakannya.","Kue Gapit merupakan kue khas Cirebon yang dipercaya sudah ada sejak abad ke-18. Nama gapit berarti jepit, mengacu pada cara pembuatannya yang dijepit di antara dua lempengan cetakan besi. Kue ini dahulu dijual oleh pedagang keliling dan menjadi jajanan rakyat pada masa penjajahan Belanda. Kini, kue gapit menjadi oleh-oleh khas Cirebon yang sering dibawa wisatawan.","Salah satu resep kue gapit dari majalah Indonesia Femina menyebutkan bahwa bahan pembuatannya adalah tepung beras dan tepung terigu, telur ayam, air kelapa, garam, gula dan kayu manis.","Cirebon, Jawa Barat",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Kue_gapit%2C_2015-06-16.jpg/500px-Kue_gapit%2C_2015-06-16.jpg,https://id.wikipedia.org/wiki/Kue_gapit
Garigit,"Garigit adalah salah satu kue tradisional Indonesia yang berasal dari Kalimantan Selatan namun juga ditemukan di Kabupaten Tana Tidung, Kalimantan Utara. Kue Garigit termasuk ke dalam kue kering klasik yang biasanya disajikan sebagai camilan untuk santai dan sajian idulfitri. Kue Garigit berbentuk bulat dan terdapat ciri khas dipermukaannya berupa garis tipis memanjang. Garis ini dibentuk menggunakan benang atau ujung garpu. Makanan ini terbuat dari tepung terigu yang dicampur dengan parutan kelapa, gula dan sedikit air. Adonan yang telah dibentuk menjadi bulat pipih, ditambahkan garis di permukaannya, kemudian dipanggang. Untuk penambahan rasa, bisa ditambahkan butir cokelat dan santan bubuk yang menghasilkan tekstur renyah dan harum yang gurih.",Garigit merupakan kue tradisional khas Bima yang telah diwariskan turun-temurun. Kue ini biasanya disajikan dalam upacara adat atau perayaan hari besar keagamaan. Namanya berasal dari bahasa lokal yang berarti renyah atau garing. Garigit menjadi lambang kebersamaan masyarakat Bima yang gemar berkumpul sambil menikmati kudapan sederhana.,"Tepung beras dicampur dengan santan dan gula pasir lalu diuleni hingga kalis. Adonan dibentuk tipis-tipis, digoreng dalam minyak panas hingga berwarna keemasan. Kue ini bertekstur renyah dan manis ringan.","Kalimantan Selatan namun juga ditemukan di Kabupaten Tana Tidung, Kalimantan Utara",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Coconut_cookies-.jpg/500px-Coconut_cookies-.jpg,https://id.wikipedia.org/wiki/Garigit
Kue Gelam,"Kue Gelam atau Kue Bunga Gelam merupakan kue tradisional khas Melayu yang berasal dari Kampung Gelam, kelurahan Daik, kecamatan Lingga, Kabupaten Lingga, provinsi Kepulauan Riau. Penyajian Kue Bunga Gelam ini dianggap sakral dan penuh magis bagi masyarakat Daik membuatnya hanya boleh disajikan pada berbagai acara adat istiadat saja seperti upacara khitanan bagi anak laki-laki, bertindik bagi anak perempuan, pernikahan, dan melahirkan. Khazanah pembuatan Kue Bunga Gelam ini hanya dikhususkan untuk keluarga yang masih satu keturunan nenek moyang dari Kampung Gelam saja. Kue Bunga Gelam masuk sebagai salah satu Warisan Budaya Takbenda asli dari Kepulauan Riau secara resmi terdaftar oleh Kementerian Pendidikan Dasar dan Menengah Republik Indonesia dengan nomor register 372/M/2021.","Kue Gelam adalah salah satu kue tradisional khas suku Banjar yang mulai jarang ditemukan. Nama gelam diambil dari bahan pembungkusnya, yaitu daun gelam, sejenis daun yang aromanya khas dan sering digunakan dalam kuliner tradisional Banjar. Kue ini mencerminkan kebiasaan masyarakat setempat yang memanfaatkan bahan alami dari lingkungan sekitar.","Pembuatan Kue Bunga Gelam ini dilakukan oleh perempuan dalam keadaan suci dan setelah berwudhu. Pembuatan Kue Bunga Gelam diawali dengan mencampurkan berbagai bahan seperti dua buah kelapa, tepung beras, alba, empat butir butir, bawang putih, garam, jahe, kunyit, serai, dan adas manis atau pedas. Mula-mula buat tepung beras menjadi dadeh. Buat santan dari dua buah kelapa yang telah disiapkan. Setelah santan jadi, haluskan semua bahan kecuali telur menjadi bumbu. Setelah bumbu yang dihaluskan sudah siap, campurkan santan, empat butir telur, dan bumbu halus tadi menjadi sebuah adonan. Setelah adonan tersebut tercampur rata, adonan tersebut digoreng hingga matang. Setelah selesai dibuat, sisa-sisa kue yang tidak habis dan bahan-bahan pembuatan kue tersebut dikumpulkan menjadi satu lalu dihanyutkan ke sungai tanpa sisa sebagai bentuk penghormatan kepada lingkungan dan tradisi turun temurun.",Kalimantan Selatan,https://upload.wikimedia.org/wikipedia/commons/1/17/Kue_gelam_kepri.jpg,https://id.wikipedia.org/wiki/Kue_Gelam
Gembus singkong,"Gembus singkong atau umum disebut gembus saja, adalah makanan ringan atau jajanan tradisional yang dapat dijumpai di daerah Banyumas, Cilacap, Kebumen, dan Purbalingga. Sebagaimana namanya, gembus terbuat dari olahan singkong atau ubi kayu. Gembus yang ini tidak sama, jauh berbeda dari tempe gembus (tempe menjes).","Gembus Singkong merupakan makanan khas pedesaan Jawa Tengah yang mulai populer pada masa krisis pangan pasca-kemerdekaan, ketika masyarakat beralih ke bahan pangan alternatif seperti singkong. Kue ini menjadi simbol ketahanan pangan dan kreativitas rakyat dalam memanfaatkan bahan lokal. Hingga kini, gembus sering dijual di pasar sebagai camilan sederhana namun mengenyangkan.","Bahan dasar gembus adalah singkong segar, sedikit tapioka, dan bumbu-bumbu sederhana seperti bawang putih, ketumbar, dan garam. Singkong yang telah dikupas, diparut, dan diperas airnya. Ampas parutan singkongnya kemudian diberi bumbu-bumbu yang telah dihaluskan, dan adonan ini kemudian dikukus hingga matang. Air perasan singkong tadi lalu diendapkan, dan tepung endapannya kemudian dicampurkan kembali dengan adonan yang telah matang, sementara airnya dibuang. Setelah itu, ditambahkan sedikit tepung tapioka, diuleni hingga kalis, kemudian diambil sedikit-sedikit dan dibentuk menyerupai donat. Inilah yang kemudian digoreng sehingga menggelembung dan gembus-gembus.",Jawa Tengah,https://upload.wikimedia.org/wikipedia/commons/c/cb/Donat_jawa.jpg,https://id.wikipedia.org/wiki/Gembus_singkong
Geplak,"Geplak (bahasa Jawa: ???? , translit. gplak) adalah penganan yang dibuat dari adonan kelapa parut (ampas kelapa) dicampur gula dan vanili, ada yang dicampuri durian, sirsak, atau nangka. Geplak merupakan penganan tradisional khas Jawa yang berasal dari kabupaten Bantul, Daerah Istimewa Yogyakarta. Terdapat pula geplak yang dibuat dari waluh. Industri geplak umumnya dapat ditemui di daerah Kabupaten Bantul, Daerah Istimewa Yogyakarta, yang kebanyakan diusahakan oleh industri rumah tangga. Selanjutnya jenis penganan ini berkembang meluas akibat permintaan pasar dan diusahakan tidak hanya di sekitar Daerah Istimewa Yogyakarta akan tetapi juga di seluruh Nusantara.","Geplak adalah kue khas Bantul yang konon diciptakan pada masa paceklik ketika masyarakat mengganti beras dengan kelapa dan gula sebagai sumber energi. Kue ini kemudian menjadi simbol kesederhanaan dan ketabahan masyarakat Jawa menghadapi masa sulit. Kini, geplak menjadi oleh-oleh khas Yogyakarta yang dikenal karena warnanya yang cerah dan rasa manisnya yang kuat.","Daging kelapa parut dimasak bersama gula pasir hingga mengental, lalu dibentuk bulat-bulat. Kadang ditambahkan pewarna alami seperti daun pandan atau bit untuk mempercantik tampilannya.",Jawa yang berasal dari kabupaten Bantul,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/16._Geplak_d%C3%A9sa_2.jpg/500px-16._Geplak_d%C3%A9sa_2.jpg,https://id.wikipedia.org/wiki/Geplak
Gomak ubi,"Gomak ubi adalah salah satu makanan khas dari Kota Palembang. Kue tradisional ini berbahan dasar ubi jalar, atau sering dikenal dengan singkong. Kue ini memiliki tekstur yang unik dengan rasa yang manis, karena di dalamnya terdapat isian gula merah. Isian gula merah tersebut yang mencair setelah dipanaskan ketika gomak dimasak. Bentuknya bulat-bulat sebesar kepalan tangan anak kecil, Ketika dilumat di dalam mulut, seketika pula gula merah itu lumer dan tercampur dengan singkong yang sudah dihaluskan. Bentuknya sama seperti combro yang merupakan makanan khas Jawa Barat, tapi yang ini versi manis legit nya. Gomak ini pula dimasak dengan bahan-bahan sederhana dan dicampur dengan komposisi kandungan halal, sehingga setiap kalangan dapat menikmati hidangan tradisional ini. Di dalam gomak juga terdapat rasa gurih dari kelapa yang berpadu. Hidangan kue tradisional yang autentik satu ini menggambarkan kearifan lokal dan kekayaan budaya Sumatera Selatan dan sudah dikenal sampai ke mancanegara.","Gomak Ubi adalah kue tradisional khas Nias yang berasal dari tradisi masyarakat petani dan nelayan. Nama gomak berarti diremas atau diaduk dengan tangan, menggambarkan cara pengolahannya yang sederhana tanpa alat modern. Kue ini menjadi hidangan wajib pada acara adat dan pesta rakyat.","500 gram ubi jalar/singkong 5 sdm tepung terigu 1 keping gula merah 3 sdm kelapa parut Sejumput garam Gula secukupnyaBersihkan ubi dan rebus, lalu haluskan. Iris tipis gula merah sampai berbentuk butiran. Campurkan ubi yang telah dihaluskan dengan tepung terigu, kelapa parut, gula dan garam. Ambil 25-30 gram adonan, bentuk bulat dan masukkan gula merah ditengahnya. Lakukan hingga adonan habis. Panaskan minyak goreng, dan goreng gomak ubi hingga golden brown. Tiriskan dan gomak ubi siap dinikmati. Kue tradisional gomak ubi ini unik dan lezat. Bisa menjadi ide hidangan ketika hajatan, acara besar, kumpul keluarga, atau sekadar sebagai teman bersantai di rumah. Bahan-bahan nya pun sederhana dan dapat dengan mudah di dapatkan di wilayah mana saja. Makanan khas dari Kota Palembang ini sangat direkomendasikan untuk dicoba oleh kalangan siapa saja. Kuliner ini juga biasa dihidangkan oleh masyarakat Palembang saat sore hari, melepas penat bersama di ruang keluarga sambil bertukar cerita, ditemani teh hangat sebagai minuman pendamping nya. Pada zaman dahulu, gomak ubi ini adalah makanan yang biasanya dinikmati oleh orang-orang tua, biasanya hanya ubi yang dhaluskan tanpa tambahan toping atau isian, original saja. Orang-orang terdahulu memvariasikan makanan ini karena sudah bosan dengan olahan yang hanya direbus atau dikukus saja. Tapi sekarang, sudah ada banyak variasi nya, mulai dari isian gula merah, ada juga yang divariasikan berisi dengan coklat, atau keju. Beberapa juga dihidangkan dengan toping diatasnya. Setiap kalangan pun dapat menikmati olahan ubi ini, termasuklah orang dari manca negara, tamu internasional. Orang-orang luar kota pun dapat menikmati olahan ini karena bisa dimasak dengan mudah. Apalagi bahan dasar gomak ini adalah ubi kayu atau singkong atau ubi jalar yang tidak sulit ditemui di berbagai daerah di Inonesia.",Jawa Barat,https://drive.google.com/uc?export=view&id=16d0HUp9pcbS6PG5sYViJjapWdR6-7O3z,https://id.wikipedia.org/wiki/Gomak_ubi
Gulo puan,"Gulo puan atau gula susu merupakan makanan manis yang berasal dari Palembang, Indonesia. Terbuat dari gula dan susu kerbau yang segar dan memiliki rasa yang manis serta berwarna kecokelatan.","Pada zaman kesultanan, gulo puan merupakan makanan favorit para bangsawan Palembang. Dibuat dari susu kerbau di kampung di kawasan rawa, Sumatera Selatan. Makanan ini sangat sulit ditemukan saat ini. Makanan yang diolah secara tradisional ini hanya dijual oleh beberapa penjual kaki lima pada waktu tertentu saja, seperti sekitar waktu salat Jumat di Masjid Agung Palembang.","Susu kerbau segar dicampur gula pasir dan dimasak perlahan di atas api kecil sambil terus diaduk hingga mengental seperti dodol. Setelah matang, adonan didinginkan dan dipotong-potong. Rasa manis legit berpadu lembut dengan aroma susu alami.",Sumatera Selatan,https://drive.google.com/uc?export=view&id=1c02FnFGbofBDTQsfFQZ63CkkX1Mq4oCi,https://id.wikipedia.org/wiki/Gulo_puan
Jalabria,"Jalabria (kadang disebut juga jalabiya, jalabia) adalah penganan yang dibuat dari tepung ketan yang diberi gula dan digoreng. Jajanan ini adalah penganan tradisional khas Majalengka atau Jawa Barat. Kue ini berbentuk seperti donat yang bolong di tengahnya. Jalabria memiliki rasa manis yang pekat karena seluruh permukaannya dilumuri gula merah yang dibiarkan mengering seperti kue gemblong. Bahan-bahan yang digunakan untuk membuat jajanan ini adalah di antaranya tepung ketan hitam, kelapa parut, garam, air, dan gula merah.","Jalabria adalah kue tradisional khas Aceh yang sudah dikenal sejak masa kerajaan Islam di wilayah tersebut. Kue ini sering disajikan pada acara kenduri, maulid, atau perayaan adat. Nama jalabria diyakini berasal dari kata jalla yang berarti manis dan bria yang berarti lembut dalam bahasa daerah setempat. Kue ini menggambarkan gaya kuliner Aceh yang banyak menggunakan bahan kelapa, santan, dan tepung beras, serta memiliki cita rasa manis gurih khas pesisir utara Sumatera.","Bahan utamanya adalah tepung beras, santan, gula merah, dan telur. Adonan diaduk hingga rata dan dikukus dalam loyang yang diolesi minyak. Setelah matang, kue dipotong kecil-kecil. Teksturnya padat lembut dengan rasa manis santan yang khas.",Majalengka atau Jawa Barat,https://drive.google.com/uc?export=view&id=18bjeYshLN6HsqMJATAw9nvh18Jva-s-J,https://id.wikipedia.org/wiki/Jalabria
Kaasstengels,"Kaasstengels (bahasa Belanda kaas, keju","Kaasstengels berasal dari kata Belanda kaas yang berarti keju dan stengels yang berarti batang. Kue ini diperkenalkan oleh bangsa Belanda pada masa kolonial dan kemudian menjadi salah satu kue kering populer di Indonesia, terutama saat Natal dan Lebaran. Dalam tradisi modern, kaasstengels melambangkan kebahagiaan dan kemakmuran karena terbuat dari bahan yang dianggap mewah pada masa lalu, yaitu keju.","Tepung terigu, mentega, telur, dan keju parut dicampur hingga menjadi adonan kalis. Adonan dibentuk memanjang, dioles kuning telur, lalu dipanggang hingga berwarna keemasan. Teksturnya renyah dan rasanya gurih keju yang pekat.",Seluruh Indonesia (asal Belanda),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Kastengel.JPG/500px-Kastengel.JPG,https://id.wikipedia.org/wiki/Kaasstengels
Kakicak,"Kakicak atau kikicak atau kekicak adalah kue khas masyarakat Banjar, Kalimantan Selatan. Kue ini dikenali dari tampilannya, yaitu berwarna hijau dan berbentuk bulat berukuran kecil seperti tutup botol. Bahan utama pembuatan kue ini adalah tepung ketan sehingga menghasilkan tekstur yang kenyal. Selain itu, kue ini juga biasanya dimakan bersama hinti atau kelapa parut yang dicampur gula merah. Selain dari tepung ketan, ada juga penjual kue ini yang membuatnya dari ubi kayu.",Kue Kakicak merupakan jajanan tradisional masyarakat Banjar yang biasanya dibuat untuk acara keluarga atau hari besar keagamaan. Kue ini mencerminkan kekhasan kuliner Banjar yang banyak memanfaatkan tepung beras dan kelapa. Nama kakicak berasal dari bunyi khas saat adonan diaduk dengan sendok kayu dalam wadah logam.,"Tepung beras dicampur dengan santan, gula, dan sedikit garam hingga menjadi adonan kental. Adonan dikukus dalam cetakan kecil hingga matang. Kue ini lembut dan beraroma harum kelapa.",Kalimantan Selatan,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Kue_Kikicak.jpg/500px-Kue_Kikicak.jpg,https://id.wikipedia.org/wiki/Kakicak
